Company,Website,Equity Stake,Year,LinkedIn URL,NewUrl,NewPost-Val,URL
d-me,www.relow.me,0.33,2022,http://www.linkedin.com/company/relow-me,https://www.relow.me/,0.33M,https://relow.me
Reme-d,www.reme-d.com,1,2021,http://www.linkedin.com/company/reme-d,https://www.reme-d.com/,1M,https://reme-d.com
remetery,www.rememory.com,0.33,2021,http://www.linkedin.com/company/rememory,https://www.rememory.com/,0.33M,https://rememory.com
metrik,www.metrik.com,0.2,2016,,https://www.metrik.com/,0.2M,https://metrik.com
motehour,www.remotehour.com,0.33,2021,,https://www.remotehour.com/,0.33M,https://remotehour.com
motize,www.motize.com,0.5,2016,,https://www.motize.com/,0.5M,https://motize.com
nzon,www.renzon.com,0.33,2019,http://www.linkedin.com/company/renzon,https://www.renzon.com/,0.33M,https://renzon.com
amazon,www.napro.com,0.44,2021,http://www.linkedin.com/company/napro,https://www.napro.com/,0.44M,https://napro.com
GetInCheck,www.getincheck.com,0.33,2019,http://www.linkedin.com/company/getincheck,https://www.getincheck.com/,0.33M,https://getincheck.com
philike,www.rephike.com,0.36,2017,,https://www.rephike.com/,0.36M,https://rephike.com
episodic,www.episodic.com,0.84,2017,http://www.linkedin.com/company/episodic,https://www.episodic.com/,0.84M,https://episodic.com
RepOne Strength,www.reponestrength.com,0.33,2016,http://www.linkedin.com/company/reponestrength,https://www.reponestrength.com/,0.33M,https://reponestrength.com
Rerent,www.rerent.co,0.33,2019,http://www.linkedin.com/company/rerent,https://www.rerent.co/,0.33M,https://rerent.co
sourceverified,www.resourceverified.com,0.75,2016,,https://www.resourceverified.com/,0.75M,https://resourceverified.com
resuid,www.resuid.ai,0.33,2017,,https://www.resuid.ai/,0.33M,https://resuid.ai
Sure,www.resure.io,0.67,2016,http://www.linkedin.com/company/resure,https://www.resure.io/,0.67M,https://resure.io
sus tensive,www.resustech.io,0.5,2016,http://www.linkedin.com/company/resus-tech,https://www.resustech.io/,0.5M,https://resustech.io
retracto,www.retentive.com,0.33,2020,http://www.linkedin.com/company/getshory,https://www.retentive.com/,0.33M,https://retentive.com
Ortho,www.retractortho.com,0.8,2021,http://www.linkedin.com/company/retractortho,https://www.retractortho.com/,0.8M,https://retractortho.com
reveal (Beverages),www.drinkreveal.com,0.88,2019,http://www.linkedin.com/company/hidereveal,https://www.drinkreveal.com/,0.88M,https://drinkreveal.com
goreveler,www.goreveler.com,0.33,2021,http://www.linkedin.com/company/goreveler,https://www.goreveler.com/,0.33M,https://goreveler.com
Review Piper,www.reviewpiper.com,0.33,2023,,https://www.reviewpiper.com/,0.33M,https://reviewpiper.com
revmax,www.revmax.io,0.86,2016,http://www.linkedin.com/company/revolumax,https://www.revmax.io/,0.86M,https://revmax.io
